"Team1","Team2","Played","Won","Drawn","Lost"
"100","England","Repulic of Ireland",16,0.3125,0.5,0.1875
"101","England","Sweden",23,0.304347826086957,0.391304347826087,0.304347826086957
"102","England","Portugal",23,0.434782608695652,0.434782608695652,0.130434782608696
"103","England","Iceland",2,0.5,0.5,0
"104","England","Austria",18,0.555555555555556,0.222222222222222,0.222222222222222
"105","England","Hungary",22,0.681818181818182,0.0909090909090909,0.227272727272727
"106","Wales","Russia",9,0.111111111111111,0.333333333333333,0.555555555555556
"107","Wales","Slovakia",2,0.5,0,0.5
"108","Wales","Spain",5,0.2,0.4,0.4
"109","Wales","Czech Republic",15,0.2,0.333333333333333,0.466666666666667
"110","Wales","Turkey",6,0.5,0.166666666666667,0.333333333333333
"111","Wales","Croatia",4,0,0.25,0.75
"112","Wales","Germany",17,0.117647058823529,0.352941176470588,0.529411764705882
"113","Wales","Ukraine",3,0,0.666666666666667,0.333333333333333
"114","Wales","Poland",8,0.125,0.25,0.625
"115","Wales","Northern Ireland",95,0.463157894736842,0.252631578947368,0.284210526315789
"116","Wales","Belgium",12,0.333333333333333,0.25,0.416666666666667
"117","Wales","Italy",9,0.222222222222222,0,0.777777777777778
"118","Wales","Repulic of Ireland",13,0.384615384615385,0.230769230769231,0.384615384615385
"119","Wales","Sweden",7,0,0.142857142857143,0.857142857142857
"120","Wales","Portugal",3,0.333333333333333,0,0.666666666666667
"121","Wales","Iceland",7,0.714285714285714,0.142857142857143,0.142857142857143
"122","Wales","Austria",8,0.25,0.125,0.625
"123","Wales","Hungary",10,0.5,0.2,0.3
"124","Russia","Slovakia",8,0.375,0.375,0.25
"125","Russia","Spain",10,0.1,0.3,0.6
"126","Russia","Czech Republic",15,0.466666666666667,0.333333333333333,0.2
"127","Russia","Turkey",16,0.875,0,0.125
"128","Russia","Croatia",3,0,0.666666666666667,0.333333333333333
"129","Russia","Germany",19,0.157894736842105,0.105263157894737,0.736842105263158
"130","Russia","Ukraine",2,0,0.5,0.5
"131","Russia","Poland",18,0.5,0.277777777777778,0.222222222222222
"132","Russia","Northern Ireland",6,0.5,0.333333333333333,0.166666666666667
"133","Russia","Belgium",9,0.444444444444444,0.111111111111111,0.444444444444444
"134","Russia","Italy",16,0.3125,0.375,0.3125
"135","Russia","Repulic of Ireland",15,0.466666666666667,0.266666666666667,0.266666666666667
"136","Russia","Sweden",26,0.346153846153846,0.346153846153846,0.307692307692308
"137","Russia","Portugal",10,0.3,0.1,0.6
"138","Russia","Iceland",12,0.583333333333333,0.333333333333333,0.0833333333333333
